filename,short_caption,long_caption
essence-drift-final-system-hero-01.jpg,Essence Drift — Final System Hero.,The Final System Hero of Essence Drift — gold-cap bottle on a dark plinth in cool atmospheric smoke.
essence-drift-solo-smoke-clear-02.jpg,Essence Drift — clear bottle in smoke.,An Essence Drift clear bottle solo in heavy ambient smoke. Atmospheric frame for the case.
essence-drift-doppel-illusion-mystery-03.jpg,Essence Drift — Illusion + Mystery pair.,The Essence Drift pair — Illusion and Mystery — floating in cool blue smoke. Editorial frame for the case.
essence-drift-ghostly-vertical-04.jpg,Essence Drift — ghostly vertical.,A near-invisible Essence Drift bottle dissolving in cool fog. Vertical frame for story formats.
essence-drift-vintage-hand-smoke-05.jpg,Essence Drift — vintage hand hold.,A vintage crystal flacon held in a hand under cool smoke. Cultural reference frame inside the Essence Drift narrative.
neural-glow-system-hero-n4-01.jpg,Neural Glow — System Hero N°4.,The System Hero N°4 of Neural Glow — luminous neuron paths inside the bottle behind the dark label.
neural-glow-adaptive-circuit-02.jpg,Neural Glow — adaptive circuit.,A Neural Glow Adaptive Skin Serum with circuit graphic on the label and a soft purple/blue rim light. Vertical hero for the case.
neural-glow-network-web-03.jpg,Neural Glow — network web abstraction.,A purple and gold network web abstraction representing the Neural Glow case's intelligent-formula narrative.
mirrou-studio-hamburg-hq-workspace-01.jpg,Mirrou Hamburg HQ — workspace.,Mirrou Creative Studio's Hamburg HQ workspace — color grading station, two monitors, Wacom tablet, Mirrou-branded mug and the studio's moodboard wall behind.
mirrou-studio-hamburg-exterior-02.jpg,Mirrou Hamburg HQ — exterior at dusk.,Mirrou Hamburg HQ exterior at dusk — dark stone facade with a single warmly lit entrance. Locates the studio in Hamburg.
mirrou-studio-berlin-exterior-03.jpg,Mirrou Berlin studio — exterior at night.,Mirrou's Berlin studio presence — an urban facade with warm interior light reflected on wet cobblestones. Anchors the dual-city architecture.
mirrou-studio-process-editorial-layout-04.jpg,Mirrou process — editorial layout review.,Mirrou's process layer — printed editorial layouts, hand-drawn storyboard sheets and color swatches under a warm gold lamp.
mirrou-studio-process-blueprint-pencil-05.jpg,Mirrou process — governance blueprint.,A mechanical pencil on a hand-drawn governance blueprint. The image references Mirrou's documented protocol layer.
mirrou-studio-process-hands-print-06.jpg,Mirrou process — hands holding print.,Hands inspecting a printed editorial frame inside the studio. The image stands for Mirrou's manual selection layer.
mirrou-studio-spotlight-pedestal-07.jpg,Mirrou studio — spotlight on pedestal.,A controlled warm spotlight cuts an empty pedestal in deep shadow. The frame asserts Mirrou's relationship with light as a design element.
mirrou-studio-founder-leica-08.jpg,Olha Yevtushenko — at the camera.,Olha Yevtushenko, founder of Mirrou Creative Studio, at the camera in the Hamburg HQ.
mirrou-abstract-performance-curve-01.jpg,Performance curve — Mirrou abstraction.,A multi-line performance curve in Mirrou Gold and cool blue. A recurring Mirrou abstraction for the algorithmic side of the brand.
mirrou-abstract-gold-light-waves-02.jpg,Gold light waves.,Cinematic gold light waves with rising particle nodes. A recurring background frame inside the Mirrou system.
mirrou-abstract-particle-cluster-03.jpg,Particle cluster on grid.,A precise gold particle cluster floating above a grid floor. Used as a Mirrou system marker.
mirrou-abstract-circuit-brushstrokes-04.jpg,Gold and silver brushstrokes on circuit board.,Gold and silver brush gestures on a circuit board. A meeting point between Mirrou's algorithmic and craft layers.
mirrou-abstract-gold-wave-grid-05.jpg,Gold wave merging into digital grid.,A flowing gold wave merging into a luminous data grid. Used to represent the Mirrou shift between intuition and system.
mirrou-abstract-concentric-rings-06.jpg,Concentric gold rings.,Concentric gold rings around a central flare. A precise Mirrou abstraction for the radiation of system signal.
mirrou-abstract-marble-ripple-07.jpg,Concentric ripple on black marble.,A blue and gold concentric ripple resting on black marble. Atmospheric frame for editorial press use.
mirrou-abstract-gold-pour-vial-08.jpg,Gold pour into glass vial.,A gold pour stream landing in a small glass vial on dark marble. The frame is shorthand for Mirrou's distillation method.
mirrou-abstract-gold-crown-splash-09.jpg,Gold crown splash on dark surface.,A gold crown-shaped splash on a dark surface. Used as a frozen-energy frame inside the brand system.
mirrou-abstract-3-vertical-panels-10.jpg,Brand triptych — three vertical panels.,Three vertical panels — gold diamond grid, slow gold smoke, blue code grid. The triptych summarises Mirrou's three brand registers.
mirrou-abstract-tech-macro-brushed-11.jpg,Brushed metal — technical macro.,A precise macro of brushed metal under low-key light. The image grounds Mirrou's technical/craft layer.
mirrou-abstract-citrus-section-12.jpg,Backlit citrus section.,A backlit citrus section against deep blue. Used as an editorial frame for ingredient-led narratives.
mirrou-abstract-gold-drop-skin-13.jpg,Gold drop on skin — macro.,A single gold serum drop on textured skin under warm rim light. Educational frame for product-on-skin storytelling.
mirrou-abstract-glitter-skin-14.jpg,Glitter on skin macro.,A macro of holographic glitter on skin — purple, blue and gold facets. Used inside Neural Glow and editorial features.
mirrou-abstract-arm-swatch-15.jpg,Arm swatch — gold and silver.,A precise gold and silver swatch on the inner arm. Used for ingredient and texture-led press layouts.
editorial-concept-aether-01.jpg,Editorial concept — Aether (concept frame).,Editorial concept frame — not a real product or third-party brand. Used by Mirrou Creative Studio to demonstrate visual range across editorial categories.
editorial-concept-neuroflow-01.jpg,Editorial concept — Neuroflow (concept frame).,Editorial concept frame — not a real product or third-party brand. Used by Mirrou Creative Studio to demonstrate visual range across editorial categories.
editorial-concept-mininium-01.jpg,Editorial concept — Mininium (concept frame).,Editorial concept frame — not a real product or third-party brand. Used by Mirrou Creative Studio to demonstrate visual range across editorial categories.
editorial-concept-forest-bottle-01.jpg,Editorial concept — Forest Bottle (concept frame).,Editorial concept frame — not a real product or third-party brand. Used by Mirrou Creative Studio to demonstrate visual range across editorial categories.
editorial-concept-green-energy-01.jpg,Editorial concept — Green Energy (concept frame).,Editorial concept frame — not a real product or third-party brand. Used by Mirrou Creative Studio to demonstrate visual range across editorial categories.
